Id,Prospect ID,Lead Number,Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Lead Quality,Update me on Supply Chain Content,Get updates on DM Content,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity
1523,51563510-2ed9-4382-aeef-be4b83963d5b,644173,API,Google,No,No,0,3.0,1344,3.0,Email Opened,India,Hospitality Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,,No,No,Select,Select,02.Medium,03.Low,13.0,12.0,No,No,Email Opened
6086,38130086-2b3d-4e6f-a6b3-44effeb1d084,603154,API,Direct Traffic,No,No,0,3.0,34,3.0,Email Opened,India,Business Administration,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,,,,,No,Yes,Email Opened
4823,9762d644-a6b6-4048-921a-2b6294ef7940,613698,Landing Page Submission,Direct Traffic,Yes,No,0,2.0,125,2.0,Unsubscribed,India,Human Resource Management,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Other Leads,Mumbai,,,,,No,No,Unsubscribed
5998,37437a8b-facc-48ec-9686-7bc8a4f16ea8,603796,API,Organic Search,No,No,0,11.0,714,11.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,,,,,No,No,Email Opened
8988,014812f5-b21c-46ad-b5ed-a36bb8e7a009,581419,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,03.Low,02.Medium,12.0,15.0,No,No,Modified
4668,5a7a5936-b4c2-45e1-8145-de4c5f86bd5b,614961,API,Organic Search,No,No,0,3.0,427,3.0,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
9159,bdcedf46-79a2-4f8c-a8b5-d50d3daf3995,580231,API,Google,No,No,0,2.0,19,2.0,SMS Sent,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,13.0,15.0,No,No,Modified
3167,cd93181d-f7e2-499b-8827-493522a9bb6b,629644,API,Google,No,No,0,5.0,464,5.0,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened
7002,19091704-798f-4713-926e-4ddd4de257f6,595903,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Email Opened
2476,2129220e-e309-47a4-88c6-093c41701e78,635908,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,03.Low,02.Medium,11.0,15.0,No,No,Modified
1915,f046b768-ccd9-480a-87e0-14d3bd4ae0fd,641093,Landing Page Submission,Direct Traffic,No,No,1,9.0,747,9.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Lateral Student,Thane & Outskirts,02.Medium,01.High,15.0,18.0,No,No,Email Opened
1425,417709cc-043e-47f7-b7eb-7f719cfdea31,645172,Landing Page Submission,Google,No,No,1,4.0,1588,4.0,SMS Sent,India,Human Resource Management,Multiple Sources,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,02.Medium,01.High,14.0,18.0,No,No,SMS Sent
3740,f2a3035d-5473-40e8-906e-d64d0f62f0a3,624337,API,Olark Chat,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Select,Select,,,,,No,No,Modified
4467,0d897f5e-6cc9-411d-bfd6-591acca6a979,616758,API,Google,No,No,0,2.0,71,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,,,,,No,No,SMS Sent
5799,1a2e1831-defc-4574-bbe0-c3d809972ee9,605291,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent
3559,80f33bf2-a795-49d2-8be2-9d9c897ef54b,626374,API,Olark Chat,No,No,0,0.0,0,0.0,Email Link Clicked,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Link Clicked
3145,1d3e0f1d-2518-4985-ba12-a718e0beb18d,629776,Landing Page Submission,Google,No,No,0,2.0,137,2.0,Email Opened,India,"Banking, Investment And Insurance",Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,No,Email Opened
6441,10ffae5e-4185-4397-97ed-a2055ecded57,600596,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
7877,52fbd85f-9332-4c4d-9c40-e211b8eb135d,589398,Lead Add Form,Welingak Website,No,No,1,0.0,0,0.0,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,02.Medium,02.Medium,14.0,15.0,No,No,Email Opened
681,9917c522-e556-47ea-a5a0-cd9c6561536d,653527,API,Referral Sites,No,No,0,3.0,193,1.5,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,13.0,13.0,No,No,Email Opened
5504,810db5a5-815f-460f-891a-372f7ab15814,607688,Landing Page Submission,Direct Traffic,No,No,0,4.0,436,4.0,Email Opened,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Low in Relevance,No,No,Select,Other Cities,,,,,No,Yes,Email Opened
1341,774e7a4e-e871-4a67-aaa1-4609f2bf2cea,645773,API,Google,No,No,1,2.0,369,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Mumbai,02.Medium,01.High,15.0,17.0,No,No,Email Opened
8098,f7d7f67f-0dc2-462c-8336-f56384f96fa9,587970,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,Human Resource Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,02.Medium,01.High,14.0,18.0,No,No,SMS Sent
129,2b25a3e9-72a7-43e5-8c54-7e8405cc0ed3,659203,API,Google,No,No,1,2.0,160,1.0,Olark Chat Conversation,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,,,No,No,Select,Select,01.High,02.Medium,16.0,15.0,No,No,Modified
8815,c9ff1894-9e14-4929-b5e3-69e9141cff1c,582619,Landing Page Submission,Google,No,No,0,3.0,663,3.0,Email Opened,India,Marketing Management,Other,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Potential Lead,Other Cities of Maharashtra,02.Medium,01.High,13.0,19.0,No,No,Email Opened
3826,a603a835-1582-4bdc-8801-eb1947a35354,623400,Landing Page Submission,Google,No,No,0,4.0,1623,4.0,Email Opened,India,Finance Management,Multiple Sources,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,No,Email Opened
7690,4fa903d5-4f3c-44bc-ae1f-3eec709c21a8,590830,Landing Page Submission,Direct Traffic,No,No,1,2.0,883,2.0,SMS Sent,India,International Business,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Thane & Outskirts,02.Medium,01.High,15.0,19.0,No,Yes,SMS Sent
9036,403eeb5e-8eb7-4364-9551-a4a9f1d09173,581126,Landing Page Submission,Google,No,No,0,4.0,10,4.0,Email Opened,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Potential Lead,Mumbai,03.Low,01.High,12.0,20.0,No,No,Email Opened
5091,536cdc6b-f4c1-449d-bfd8-9ef0ac912dbb,611052,Landing Page Submission,Google,Yes,No,0,3.0,242,3.0,SMS Sent,India,"Banking, Investment And Insurance",Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,,,,,No,No,SMS Sent
7390,b44357d6-3169-479a-9e71-a4c29ae07ed4,592777,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,16.0,15.0,No,No,Modified
983,f1122dd7-f54c-48d3-bd5c-bad9b4516695,649677,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Link Clicked,,Hospitality Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,Low in Relevance,No,No,Lateral Student,Thane & Outskirts,02.Medium,02.Medium,14.0,16.0,No,No,Modified
7118,e887b04d-c8d0-46c8-9c68-1cecf7328539,594881,Landing Page Submission,Direct Traffic,No,No,0,2.0,1396,2.0,Email Link Clicked,India,IT Projects Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Student of SomeSchool,Other Cities of Maharashtra,,,,,No,Yes,Email Link Clicked
5423,d3d1bce3-2b15-4f26-aa2d-6ab8cde793ad,608305,Lead Add Form,Reference,No,No,1,3.0,1431,1.0,Page Visited on Website,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Closed by Horizzon,High in Relevance,No,No,Potential Lead,Mumbai,,,,,No,Yes,Page Visited on Website
2502,608cdd24-01f3-460f-9d05-601b473821db,635732,Landing Page Submission,Google,No,No,0,4.0,1777,4.0,Email Opened,India,Human Resource Management,Multiple Sources,,,No,No,No,No,No,No,No,No,,,No,No,,Thane & Outskirts,02.Medium,01.High,14.0,17.0,No,No,Modified
6629,036e3ef2-9b68-4479-9fe7-d584c87b128c,598933,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Operations Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,High in Relevance,No,No,Potential Lead,Other Cities,,,,,No,No,SMS Sent
3833,e6da5e48-fd73-4f9a-ad72-b2cee4e4b24f,623366,Landing Page Submission,Direct Traffic,No,No,0,4.0,298,4.0,SMS Sent,,IT Projects Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent
8245,45347878-dd45-4327-ba7b-1d3396a4c414,586917,API,Olark Chat,No,No,0,0.0,0,0.0,Email Opened,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,01.High,02.Medium,17.0,15.0,No,No,Email Opened
1664,a46fa0ba-3ed8-41ad-8f80-97a0f13ea143,643149,Landing Page Submission,Direct Traffic,No,No,0,2.0,316,2.0,Email Opened,India,Retail Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Modified
5825,d23ae8c1-7938-4a8b-b22f-459adf894488,605210,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,India,Business Administration,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,,,,,No,No,SMS Sent
279,5cf9340d-5798-4422-97d4-414a82056991,657436,API,Referral Sites,No,No,0,4.0,436,4.0,Email Link Clicked,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,03.Low,02.Medium,12.0,13.0,No,No,Email Link Clicked
1984,49871db3-ebf6-47ef-b670-1ba8cda1a44b,640435,Landing Page Submission,Google,No,No,0,4.0,137,4.0,Email Opened,India,Supply Chain Management,Online Search,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Email Opened
4865,b166bf8a-b61f-4050-bf73-07619c59a90f,613383,Landing Page Submission,Direct Traffic,No,No,1,3.0,1383,3.0,SMS Sent,India,Services Excellence,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Mumbai,,,,,No,Yes,SMS Sent
891,9160a406-6fce-44d7-b2cf-01d5689578cc,650921,Landing Page Submission,Referral Sites,No,No,1,4.0,453,2.0,Email Link Clicked,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Other Leads,Mumbai,02.Medium,02.Medium,15.0,16.0,No,Yes,Email Link Clicked
4641,896968a6-4b72-4bb6-8e9a-34e013e9a81d,615239,API,Organic Search,No,No,0,2.0,111,2.0,Converted to Lead,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested in other courses,Low in Relevance,No,No,Potential Lead,Select,,,,,No,No,Modified
4084,8551791d-f446-47dc-ac2b-00bc81e1ab75,620751,Landing Page Submission,Direct Traffic,No,No,0,8.0,362,2.67,Email Opened,India,Marketing Management,Select,Other,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,Worst,No,No,Other Leads,Mumbai,,,,,No,No,Email Opened
1582,dfd05558-cfb0-4c95-b0d1-bd15f13ea791,643814,Landing Page Submission,Google,No,No,0,7.0,84,1.75,Email Opened,India,E-COMMERCE,Word Of Mouth,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Thane & Outskirts,02.Medium,02.Medium,15.0,14.0,No,Yes,Email Opened
5547,e2ae3ac0-5bf7-4670-bf50-8a8ce5b98af3,607362,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,switched off,,No,No,Select,Select,,,,,No,No,Modified
1738,24dbeeba-f719-4152-b90b-a7a525b22541,642455,Landing Page Submission,Direct Traffic,No,No,0,5.0,80,2.5,Page Visited on Website,India,"Banking, Investment And Insurance",,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,14.0,18.0,No,No,Page Visited on Website
2608,459a5e4f-c271-43ba-9853-7e2c5480a5e9,634529,Landing Page Submission,Google,No,No,0,6.0,365,3.0,Email Link Clicked,India,Marketing Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Might be,No,No,Select,Mumbai,02.Medium,01.High,13.0,18.0,No,No,Modified
2169,b99658d8-95a9-426e-ad9a-71fa7c5111a8,639014,Landing Page Submission,Direct Traffic,No,No,0,10.0,887,1.43,Email Opened,India,Business Administration,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,02.Medium,01.High,13.0,18.0,No,Yes,Email Opened
6265,f2472779-886e-4ca4-ba20-5282fbb525de,601768,API,Organic Search,No,No,1,6.0,1717,3.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Lost to EINS,,No,No,Select,Select,,,,,No,No,Modified
4867,be303d7e-0e4d-4805-98f0-843740afaa78,613352,Landing Page Submission,Direct Traffic,No,No,1,4.0,1005,1.33,SMS Sent,India,Business Administration,,,,No,No,No,No,No,No,No,No,,,No,No,,Mumbai,,,,,No,Yes,SMS Sent
8872,af736b7a-4a7a-4829-98d0-a948dcfb0099,582241,Landing Page Submission,Direct Traffic,No,No,0,5.0,93,5.0,SMS Sent,India,Travel and Tourism,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Interested  in full time MBA,Not Sure,No,No,Potential Lead,Mumbai,02.Medium,01.High,14.0,18.0,No,Yes,Modified
5189,86a71cae-0e31-4c58-bb34-ec4fdf9c8071,610131,API,Olark Chat,No,No,1,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Busy,Might be,No,No,Select,Select,,,,,No,No,SMS Sent
2481,ecb83473-e70d-4745-a876-a83df155ce4a,635864,Lead Add Form,Reference,No,No,1,0.0,0,0.0,SMS Sent,,"Banking, Investment And Insurance",Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,15.0,19.0,No,No,Modified
3119,92e90905-7317-48b9-aea4-6ed307bf3b80,629964,API,Google,No,No,1,2.0,1485,2.0,Email Opened,India,Healthcare Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,,,,,No,No,Modified
4228,1d518595-7bcf-439c-a8d0-13e60da46a77,619310,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
501,2569d7ac-0fa2-4391-b513-b8e9a3422e7e,655134,API,Organic Search,No,No,0,2.0,100,2.0,Converted to Lead,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,14.0,15.0,No,No,Modified
7383,58d10ee6-7d87-447b-9d22-c41e9561451b,592802,API,Olark Chat,No,No,0,4.0,358,1.33,Email Opened,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Already a student,,No,No,Select,Select,02.Medium,02.Medium,15.0,15.0,No,No,Email Opened
4131,c928b843-901f-4d47-b28c-c55d3869591c,620376,API,Google,No,No,1,2.0,683,2.0,SMS Sent,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Select,Select,,,,,No,No,SMS Sent
8199,1cd7a4df-492a-48fe-baed-70861c49dbee,587303,Lead Add Form,Reference,No,No,0,0.0,0,0.0,SMS Sent,,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,02.Medium,01.High,14.0,17.0,No,No,SMS Sent
6693,07c3952c-5a62-4ac8-ac1f-5a74bc4dfb51,598481,API,Organic Search,No,No,0,4.0,1144,2.0,Email Opened,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,,No,No,Select,Select,,,,,No,No,Email Opened
1703,cb3344f7-8629-46d0-b77a-63d6a5c666ca,642841,API,Google,No,No,0,3.0,37,3.0,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,02.Medium,02.Medium,13.0,15.0,No,No,Email Opened
5391,96f562b3-2613-48a3-9319-54ecf2a4d35e,608488,Landing Page Submission,Google,No,No,1,6.0,1129,3.0,Email Opened,India,Operations Management,Multiple Sources,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,,No,No,Select,Mumbai,,,,,No,No,Email Opened
2210,5fe7762b-2963-4d1c-844d-eb2d04de4913,638374,Landing Page Submission,Organic Search,No,No,1,3.0,209,3.0,Unsubscribed,India,Human Resource Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Mumbai,03.Low,01.High,12.0,20.0,No,Yes,Modified
5977,7db1e980-0f32-4c8e-84ef-1ad5cc9896eb,603996,API,Olark Chat,No,No,0,0.0,0,0.0,Olark Chat Conversation,,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Modified
8115,a4e4dc80-930e-4d09-8a5f-66d44ae0cedd,587887,Lead Add Form,Reference,No,No,1,0.0,0,0.0,Email Opened,,Marketing Management,Select,Working Professional,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Might be,No,No,Potential Lead,Select,02.Medium,01.High,14.0,19.0,No,No,Email Opened
2370,ad95849a-fb61-46c1-9102-6bb13902dcc0,636907,Landing Page Submission,Direct Traffic,No,No,0,4.0,102,2.0,Email Opened,United States,Human Resource Management,,,,No,No,No,No,No,No,No,No,,,No,No,,Other Cities of Maharashtra,03.Low,01.High,12.0,17.0,No,Yes,Email Opened
4672,8d26a607-f4fc-4bb7-8d7e-2df66cad9491,614920,Landing Page Submission,Direct Traffic,No,No,1,3.0,205,3.0,SMS Sent,United Kingdom,IT Projects Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,opp hangup,Not Sure,No,No,Other Leads,Tier II Cities,,,,,No,Yes,SMS Sent
4361,6366d60e-c353-4df0-a182-3a5f18b12242,617909,API,Organic Search,No,No,0,5.0,533,5.0,Email Opened,India,,,,,No,No,No,No,No,No,No,No,,,No,No,,,,,,,No,No,Email Opened
3434,d1795117-32bb-4936-aef6-d30b402d778b,627384,Landing Page Submission,Google,No,No,0,3.0,74,3.0,Page Visited on Website,India,Finance Management,Online Search,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Ringing,Not Sure,No,No,Potential Lead,Mumbai,,,,,No,No,Modified
5242,b250251c-4466-4c6b-a6b7-2a9a0d1e0317,609567,API,Google,No,No,0,6.0,263,1.2,Page Visited on Website,India,Select,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Diploma holder (Not Eligible),,No,No,Select,Select,,,,,No,No,Page Visited on Website
2246,f6248b17-c94e-4c5d-bcc6-04f8bfead0cd,637929,API,Google,No,No,1,2.0,1556,1.0,Olark Chat Conversation,India,Marketing Management,Select,Unemployed,Better Career Prospects,No,No,No,No,No,No,No,No,Will revert after reading the email,Low in Relevance,No,No,Potential Lead,Other Cities,01.High,02.Medium,16.0,16.0,No,No,Modified
